STATE,CODE,Population,GDP(in billion current U.S. dollars)
Alabama,AL,5108468,241.75
Alaska,AK,733406,53.01
Arizona,AZ,7431344,414.27
Arkansas,AR,3067732,140.78
California,CA,38965193,3233.15
Colorado,CO,5877610,428.04
Connecticut,CT,3617176,282.48
Delaware,DE,1031890,74.26
District of Columbia,DC,678972,145.49
Florida,FL,22610726,1279.12
Georgia,GA,11029227,661.11
Hawaii,HI,1435138,86.89
Idaho,ID,1964726,94.91
Illinois,IL,12549689,875.57
Indiana,IN,6862199,401.47
Iowa,IA,3207004,200.44
Kansas,KS,2940546,182.35
Kentucky,KY,4526154,225.23
Louisiana,LA,4573749,238.2
Maine,ME,1395722,73.78
Maryland,MD,6180253,421
Massachusetts,MA,7001399,615.15
Michigan,MI,10037261,547.77
Minnesota,MN,5737915,383.62
Mississippi,MS,2939690,114.95
Missouri,MO,6196156,344.12
Montana,MT,1132812,55.19
Nebraska,NE,1978379,144.18
Nevada,NV,3194176,192.22
New Hampshire,NH,1402054,91.25
New Jersey,NJ,9290841,656.48
New Mexico,NM,2114371,105.46
New York,NY,19571216,1775.71
North Carolina,NC,10835491,625.68
North Dakota,ND,783926,58.01
Ohio,OH,11785935,698.22
Oklahoma,OK,4053824,201.66
Oregon,OR,4233358,260.11
Pennsylvania,PA,12961683,789.5
Rhode Island,RI,1095962,63.17
South Carolina,SC,5373555,259.93
South Dakota,SD,919318,56.31
Tennessee,TN,7126489,425.41
Texas,TX,30503301,2032.93
Utah,UT,3417734,219.18
Vermont,VT,647464,35.07
Virginia,VA,8715698,590.8
Washington,WA,7812880,672.13
West Virginia,WV,1770071,80.14
Wisconsin,WI,5910955,336.46
Wyoming,WY,584057,39.32
