State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,0,0,2,49,37,16,10,8,24,18,0
Alaska,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,13,391,113,150,97,114,20
Arkansas,0,0,0,43,25,28,28,29,20,9,6
California,0,0,0,1,3,779,880,278,380,445,112
Colorado,0,0,0,14,2947,291,106,345,576,71,103
Connecticut,0,1,6,17,17,1,6,9,4,8,0
Delaware,0,0,0,1,17,0,2,0,1,1,0
Dist. of Columbia,0,0,0,34,3,2,5,2,0,8,2
Florida,0,0,12,28,94,41,21,3,3,3,3
Georgia,0,0,6,44,50,21,20,8,50,8,4
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,1,3,13,996,132,39,38
Illinois,0,0,0,884,54,60,252,215,101,20,5
Indiana,0,0,0,293,47,13,23,80,24,4,4
Iowa,0,0,0,54,147,23,37,37,30,6,5
Kansas,0,0,0,22,91,43,25,30,40,31,13
Kentucky,0,0,0,75,14,7,5,6,4,3,3
Louisiana,0,0,1,329,124,109,171,180,40,49,21
Maine,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,6,36,73,16,5,11,10,14,1
Massachusetts,0,0,3,23,17,0,6,3,6,1,0
Michigan,0,0,0,614,19,16,62,55,17,17,1
Minnesota,0,0,0,48,148,34,45,65,101,10,4
Mississippi,0,0,0,192,87,51,70,183,136,65,53
Missouri,0,0,0,168,64,36,30,62,77,15,5
Montana,0,0,0,2,222,6,25,34,202,5,5
Nebraska,0,0,0,152,1942,53,188,264,163,47,52
Nevada,0,0,0,0,2,44,31,124,12,16,12
New Hampshire,0,0,0,0,3,0,0,0,0,0,0
New Jersey,0,6,12,24,34,1,6,5,1,10,3
New Mexico,0,0,0,0,209,88,33,8,60,8,8
New York,62,14,15,82,71,10,38,24,22,46,7
North Carolina,0,0,0,2,24,3,4,1,8,3,0
North Dakota,0,0,0,17,617,20,86,137,369,37,1
Ohio,0,0,0,441,108,12,61,48,23,15,2
Oklahoma,0,0,0,21,79,22,31,48,107,9,10
Oregon,0,0,0,0,0,3,7,69,26,16,11
Pennsylvania,0,0,3,62,237,15,25,9,10,14,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,1,7,0,1,0,1,1,0
South Carolina,0,0,0,1,6,2,5,1,5,1,3
South Dakota,0,0,0,37,1039,51,229,113,208,39,21
Tennessee,0,0,0,56,26,14,18,22,11,19,9
Texas,0,0,0,202,720,176,195,354,260,64,115
Utah,0,0,0,0,1,11,52,158,70,26,2
Vermont,0,0,0,1,3,0,0,0,0,0,0
Virginia,0,0,0,29,26,5,1,5,5,1,5
Washington,0,0,0,0,0,0,0,3,0,3,38
West Virginia,0,0,0,3,2,0,0,1,0,1,0
Wisconsin,0,0,0,52,17,12,17,21,13,8,1
Wyoming,0,0,0,2,375,10,12,65,181,8,12
Total,62,21,66,4156,9862,2539,3000,4269,3630,1356,720
