State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Alabama,3,5,62,9,2,9,19,60,28,5,366
Alaska,0,0,0,0,0,0,0,0,1,1,2
Arizona,167,69,133,62,107,103,78,111,26,174,"1,928"
Arkansas,7,1,64,18,11,18,9,18,8,9,351
California,111,158,479,379,801,783,442,553,217,225,"7,026"
Colorado,81,7,131,322,118,101,149,68,96,122,"5,648"
Connecticut,11,9,21,4,6,10,1,3,23,1,158
Delaware,0,1,9,3,0,6,0,1,10,0,52
Dist. of Columbia,6,15,10,1,3,5,1,4,13,11,125
Florida,12,24,73,7,17,13,8,5,35,2,404
Georgia,13,22,99,10,13,15,6,48,36,14,487
Hawaii,0,0,0,0,1,0,0,0,0,0,1
Idaho,1,3,17,40,19,13,9,25,16,13,"1,378"
Illinois,61,34,290,117,44,77,154,90,176,28,"2,662"
Indiana,13,9,77,23,10,21,18,26,35,4,724
Iowa,9,9,31,44,15,14,37,12,104,5,619
Kansas,19,4,56,91,54,34,37,27,47,13,677
Kentucky,3,5,23,3,1,2,8,10,12,10,194
Louisiana,27,10,335,54,125,51,59,53,83,20,"1,841"
Maine,0,0,1,0,0,1,0,0,2,0,4
Maryland,23,19,47,16,6,45,6,6,45,7,392
Massachusetts,7,6,33,8,6,10,17,6,49,5,206
Michigan,29,34,202,36,1,18,43,40,102,12,"1,318"
Minnesota,8,2,70,79,21,9,83,30,63,5,825
Mississippi,8,52,247,45,43,38,43,63,50,15,"1,441"
Missouri,3,10,20,29,13,29,11,19,23,5,619
Montana,0,1,6,38,5,3,6,11,47,3,621
Nebraska,39,29,193,226,142,68,95,68,251,28,"4,000"
Nevada,2,16,9,11,3,7,16,67,9,46,427
New Hampshire,1,0,1,1,0,0,0,1,0,0,7
New Jersey,30,7,48,12,8,26,11,8,61,8,321
New Mexico,25,4,47,38,24,14,6,33,7,40,652
New York,128,44,107,32,26,57,22,51,98,17,973
North Carolina,0,2,7,3,0,4,2,8,10,1,82
North Dakota,9,4,89,125,23,23,85,62,204,9,"1,917"
Ohio,5,21,121,24,11,35,17,34,65,3,"1,046"
Oklahoma,1,1,191,89,18,89,35,42,18,8,819
Oregon,0,0,11,16,8,1,4,6,2,9,189
Pennsylvania,28,6,60,11,13,30,16,20,130,7,696
Puerto Rico,0,0,1,0,0,0,0,0,0,0,1
Rhode Island,0,1,4,1,0,0,2,2,1,0,22
South Carolina,1,0,29,7,3,0,8,18,15,2,107
South Dakota,20,2,203,149,57,40,152,73,169,11,"2,613"
Tennessee,4,18,33,24,16,8,7,30,12,3,330
Texas,89,27,1868,183,379,275,370,135,146,32,"5,590"
Utah,2,3,5,7,2,8,13,62,11,21,454
Vermont,0,1,3,2,0,0,2,3,1,0,16
Virginia,5,9,30,6,7,21,8,13,48,6,230
Washington,2,0,4,1,12,24,9,13,3,5,117
West Virginia,0,2,10,1,0,0,1,1,2,0,24
Wisconsin,2,3,57,21,6,9,13,51,33,2,338
Wyoming,6,3,7,41,5,8,11,7,4,4,761
Total,1021,712,5674,2469,2205,2175,2149,2097,2647,971,"51,801"
