State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Alabama,0,0,2,34,25,15,6,8,17,11,0
Alaska,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,7,215,52,68,50,62,12
Arkansas,0,0,0,32,23,17,13,24,13,7,6
California,0,0,0,1,2,291,305,81,154,292,67
Colorado,0,0,0,6,621,41,21,66,99,17,36
Connecticut,0,0,6,10,12,0,4,7,2,5,0
Delaware,0,0,0,0,12,0,1,0,1,0,0
Dist of Columbia,0,0,0,14,3,1,3,0,0,4,2
Florida,0,0,12,28,61,33,10,3,3,3,2
Georgia,0,0,6,28,27,14,9,2,23,4,4
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,1,3,139,11,4,9
Illinois,0,0,0,553,30,29,137,127,63,12,5
Indiana,0,0,0,180,15,8,11,27,14,3,2
Iowa,0,0,0,27,81,13,14,22,12,3,0
Kansas,0,0,0,22,89,18,17,17,14,14,4
Kentucky,0,0,0,53,11,1,5,5,4,3,3
Louisiana,0,0,1,204,101,85,117,91,27,18,10
Maine,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,6,22,49,10,4,10,6,6,0
Massachusetts,0,0,3,19,12,0,4,2,3,1,0
Michigan,0,0,0,557,14,13,54,43,16,11,1
Minnesota,0,0,0,16,48,13,18,31,44,2,1
Mississippi,0,0,0,162,34,31,39,89,50,22,31
Missouri,0,0,0,126,39,27,17,51,61,12,4
Montana,0,0,0,2,75,2,8,12,37,0,2
Nebraska,0,0,0,84,194,7,55,45,21,7,11
Nevada,0,0,0,0,2,25,14,34,2,9,7
New Hampshire,0,0,0,0,2,0,0,0,0,0,0
New Jersey,0,5,12,16,21,1,3,2,1,6,3
New Mexico,0,0,0,0,74,32,20,3,39,5,6
New York,59,14,13,68,57,7,30,16,16,32,6
North Carolina,0,0,0,2,16,3,2,1,4,2,0
North Dakota,0,0,0,3,94,2,12,20,49,2,0
Ohio,0,0,0,310,84,11,46,36,13,14,0
Oklahoma,0,0,0,16,56,16,17,27,59,4,8
Oregon,0,0,0,0,0,0,1,7,7,3,1
Pennsylvania,0,0,3,42,145,10,14,8,5,12,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,1,5,0,1,0,0,1,0
South Carolina,0,0,0,1,3,0,5,1,3,0,3
South Dakota,0,0,0,17,151,6,36,38,48,11,6
Tennessee,0,0,0,47,21,13,15,16,5,12,4
Texas,0,0,0,202,431,119,128,233,170,40,93
Utah,0,0,0,0,0,6,21,56,28,6,1
Vermont,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,16,19,5,0,0,3,0,5
Washington,0,0,0,0,0,0,0,0,0,2,26
West Virginia,0,0,0,3,1,0,0,1,0,1,0
Wisconsin,0,0,0,22,7,5,11,11,7,4,1
Wyoming,0,0,0,0,92,2,6,15,23,0,4
Total,59,19,64,2946,2866,1148,1309,1495,1227,689,386
