State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Alabama,1,5,38,3,0,5,13,40,16,4,243
Alaska,0,0,0,0,0,0,0,0,1,0,1
Arizona,107,49,87,50,80,67,57,98,25,132,"1,218"
Arkansas,6,1,44,16,9,16,8,15,6,7,263
California,72,110,297,237,561,585,335,401,154,147,"4,092"
Colorado,26,2,62,90,46,57,59,29,52,52,"1,382"
Connecticut,7,8,12,1,3,8,1,2,18,1,107
Delaware,0,1,2,3,0,0,0,0,8,0,28
Dist of Columbia,3,10,8,0,1,3,1,1,7,9,70
Florida,9,20,52,5,12,12,6,4,30,2,307
Georgia,4,14,46,4,11,13,4,44,30,9,296
Hawaii,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,1,5,14,6,5,3,16,10,5,232
Illinois,45,22,187,86,36,51,98,72,126,22,"1,701"
Indiana,6,7,46,19,9,16,15,18,26,4,426
Iowa,5,5,11,24,5,4,16,10,59,1,312
Kansas,4,4,20,34,18,12,18,12,23,7,347
Kentucky,2,4,13,1,0,1,5,9,9,4,133
Louisiana,20,6,155,34,61,41,38,38,56,11,"1,114"
Maine,0,0,1,0,0,1,0,0,1,0,3
Maryland,17,10,25,11,6,31,6,5,35,6,265
Massachusetts,6,5,25,7,5,7,10,5,42,2,158
Michigan,25,32,141,24,1,16,42,32,80,11,"1,113"
Minnesota,4,1,34,31,6,3,38,13,34,2,339
Mississippi,3,31,103,27,26,25,27,46,31,12,789
Missouri,3,6,17,24,10,23,9,17,17,4,467
Montana,0,1,1,10,2,3,3,3,25,3,189
Nebraska,10,14,42,54,41,19,35,19,124,17,799
Nevada,0,12,5,8,3,4,13,31,3,34,206
New Hampshire,1,0,1,1,0,0,0,0,0,0,5
New Jersey,15,2,22,10,6,23,11,6,44,6,215
New Mexico,21,4,24,24,19,12,6,23,5,30,347
New York,89,28,61,18,19,42,20,45,77,14,731
North Carolina,0,2,7,3,0,4,2,8,10,1,67
North Dakota,2,1,39,64,12,10,24,20,60,2,416
Ohio,4,10,76,21,10,23,12,23,45,3,741
Oklahoma,1,1,103,60,9,49,21,34,12,6,499
Oregon,0,0,0,7,7,0,2,3,2,6,46
Pennsylvania,19,5,33,6,11,17,12,15,95,5,457
Puerto Rico,0,0,1,0,0,0,0,0,0,0,1
Rhode Island,0,1,2,1,0,0,2,1,0,0,15
South Carolina,1,0,20,3,3,0,6,16,12,2,79
South Dakota,4,0,62,57,12,11,35,27,47,0,568
Tennessee,2,16,19,17,12,5,3,22,11,3,243
Texas,77,20,844,113,253,196,252,87,108,24,"3,390"
Utah,1,1,3,4,1,5,7,39,7,14,200
Vermont,0,1,1,1,0,0,2,2,1,0,8
Virginia,4,8,20,6,5,13,6,12,38,4,164
Washington,1,0,4,0,7,8,8,10,2,3,71
West Virginia,0,2,5,1,0,0,0,1,2,0,17
Wisconsin,0,2,44,17,3,6,10,47,29,0,226
Wyoming,2,1,3,16,0,3,8,4,3,2,184
Total,629,486,2873,1267,1347,1455,1309,1425,1658,633,"25,290"
